Project,Release date,Due date
xref:ndmn-gallaudet-project01-python.adoc[Project 1: ],Release date,Due date
xref:ndmn-gallaudet-project02-python.adoc[Project 2: ],Release date,Due date
xref:ndmn-gallaudet-project03-python.adoc[Project 3: ],Release date,Due date
xref:ndmn-gallaudet-project04-python.adoc[Project 4: ],Release date,Due date
xref:ndmn-gallaudet-project05-python.adoc[Project 5: ],Release date,Due date
xref:ndmn-gallaudet-project06-python.adoc[Project 6: ],Release date,Due date
xref:ndmn-gallaudet-project07-python.adoc[Project 7: ],Release date,Due date
xref:ndmn-gallaudet-project08-python.adoc[Project 8: ],Release date,Due date
xref:ndmn-gallaudet-project09-python.adoc[Project 9: ],Release date,Due date
xref:ndmn-gallaudet-project10-python.adoc[Project 10: ],Release date,Due date
xref:ndmn-gallaudet-project11-python.adoc[Project 11: ],Release date,Due date
xref:ndmn-gallaudet-project12-python.adoc[Project 12: ],Release date,Due date
xref:ndmn-gallaudet-project13-python.adoc[Project 13: ],Release date,Due date
xref:ndmn-gallaudet-project14-python.adoc[Project 14: ],Release date,Due date
