Seconds;TrackId;Name;AlbumId;MediaTypeId;GenreId;Composer;Milliseconds;Bytes;UnitPrice
343.719;1;For Those About To Rock (We Salute You);1;1;1;Angus Young, Malcolm Young, Brian Johnson;343719;11170334;0.99
342.562;2;Balls to the Wall;2;2;1;NA;342562;5510424;0.99
252.051;4;Restless and Wild;3;2;1;F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman;252051;4331779;0.99
375.418;5;Princess of the Dawn;3;2;1;Deaffy & R.A. Smith-Diesel;375418;6290521;0.99
263.497;10;Evil Walks;1;1;1;Angus Young, Malcolm Young, Brian Johnson;263497;8611245;0.99
263.288;12;Breaking The Rules;1;1;1;Angus Young, Malcolm Young, Brian Johnson;263288;8596840;0.99
270.863;14;Spellbound;1;1;1;Angus Young, Malcolm Young, Brian Johnson;270863;8817038;0.99
331.180;15;Go Down;4;1;1;AC/DC;331180;10847611;0.99
366.654;17;Let There Be Rock;4;1;1;AC/DC;366654;12021261;0.99
267.728;18;Bad Boy Boogie;4;1;1;AC/DC;267728;8776140;0.99
