Project,Release date,Due date
Syllabus Quiz,Aug 20,Sep 1
Academic Integrity Quiz,Aug 20,Sep 1
Project 1,Aug 21,Sep 1
Project 2,Aug 24,Sep 1
Project 3,Aug 31,Sep 8
Project 4,Sep 7,Sep 15
Outside Event 1,Aug 21,Sep 15
Project 5,Sep 14,Sep 22
Project 6,Sep 21,Sep 29
Project 7,Sep 28,Oct 6
Outside Event 2,Aug 21,Oct 6
Project 8,Oct 5,Oct 20
Project 9,Oct 19,Oct 27
Project 10,Oct 26,Nov 3
Project 11,Nov 2,Nov 10
Outside Event 3,Aug 21,Nov 10
Project 12,Nov 9,Dec 17
Project 13,Nov 16,Dec 1
Project 14,Nov 30,Dec 8
