Project,Release date,Due date
xref:20100-2023-project01.adoc[Project 1: Review: Jupyter Lab],21-Aug,1-Sep
xref:20100-2023-project02.adoc[Project 2: Navigating UNIX: part I],24-Aug,1-Sep
xref:20100-2023-project03.adoc[Project 3: Navigating UNIX: part II],31-Aug,8-Sep
xref:20100-2023-project04.adoc[Project 4: Pattern matching in UNIX & R],7-Sep,15-Sep
xref:20100-2023-project05.adoc[Project 5: awk and bash scripts: part I],14-Sep,22-Sep
xref:20100-2023-project06.adoc[Project 6: awk & bash scripts: part II],21-Sep,29-Sep
xref:20100-2023-project07.adoc[Project 7],28-Sep,6-Oct
xref:20100-2023-project08.adoc[Project 8],5-Oct,20-Oct
xref:20100-2023-project09.adoc[Project 9],19-Oct,27-Oct
xref:20100-2023-project10.adoc[Project 10],26-Oct,3-Nov
xref:20100-2023-project11.adoc[Project 11],2-Nov,10-Nov
xref:20100-2023-project12.adoc[Project 12],9-Nov,17-Nov
xref:20100-2023-project13.adoc[Project 13],16-Nov,1-Dec
xref:20100-2023-project14.adoc[Project 14],30-Nov,8-Dec
