Project,Release date,Due date
xref:29000-s2022-project01.adoc[Project 1: Introduction to XML],January 6,January 21
xref:29000-s2022-project02.adoc[Project 2: Web scraping in Python: part I],January 20,January 28
xref:29000-s2022-project03.adoc[Project 3: Web scraping in Python: part II],January 27,February 4
xref:29000-s2022-project04.adoc[Project 4: Web scraping in Python: part III],February 3,February 11
xref:29000-s2022-project05.adoc[Project 5: Web scraping in Python: part IV],February 10,February 18
xref:29000-s2022-project06.adoc[Project 6: Plotting in Python: part I],February 17,February 25
xref:29000-s2022-project07.adoc[Project 7: Plotting in Python: part II],February 24,March 4
xref:29000-s2022-project08.adoc[Project 8: Writing Python scripts: part I],March 3,March 11
xref:29000-s2022-project09.adoc[Project 9: Writing Python scripts: part II],March 17,March 25
xref:29000-s2022-project10.adoc[Project 10: Plotting with ggplot: part I],March 24,April 1
xref:29000-s2022-project11.adoc[Project 11: Plotting with ggplot: part II],March 31,April 8
xref:29000-s2022-project12.adoc[Project 12: Tidyverse and data.table: part I],April 7,April 15
xref:29000-s2022-project13.adoc[Project 13: Tidyverse and data.table: part II],April 14,April 22
xref:29000-s2022-project14.adoc[Project 14: Tidyverse and data.table: part III],April 21,April 29
