Project,Release date,Due date
xref:20100-2022-project01.adoc[Project 1: Review: Jupyter Lab],August 22,September 9
xref:20100-2022-project02.adoc[Project 2: Navigating UNIX: part I],August 25,September 9
xref:20100-2022-project03.adoc[Project 3: Navigating UNIX: part II],September 8,September 16
xref:20100-2022-project04.adoc[Project 4: Pattern matching in UNIX & R],September 15,September 23
xref:20100-2022-project05.adoc[Project 5: awk and bash scripts: part I],September 22,September 30
xref:20100-2022-project06.adoc[Project 6: awk & bash scripts: part II],September 29,October 7
xref:20100-2022-project07.adoc[Project 7: awk & bash scripts: part III],October 6,October 21
xref:20100-2022-project08.adoc[Project 8: SQL: part I],October 20,October 28
xref:20100-2022-project09.adoc[Project 9: SQL: part II],October 27,November 4
xref:20100-2022-project10.adoc[Project 10: SQL: part III],November 3,November 11
xref:20100-2022-project11.adoc[Project 11: SQL: part IV],November 10,November 18
xref:20100-2022-project12.adoc[Project 12: SQL: part V],November 17,December 2
xref:20100-2022-project13.adoc[Project 13: SQL: part VI],December 1,December 9
