Project,Release date,Due date
xref:19000-s2022-project01.adoc[Project 1: Introduction to Python: part I],January 6,January 21
xref:19000-s2022-project02.adoc[Project 2: Introduction to Python: part II],January 20,January 28
xref:19000-s2022-project03.adoc[Project 3: Introduction to Python: part III],January 27,February 4
xref:19000-s2022-project04.adoc[Project 4: Scientific computing & pandas: part I],February 3,February 11
xref:19000-s2022-project05.adoc[Project 5: Functions: part I],February 10,February 18
xref:19000-s2022-project06.adoc[Project 6: Functions: part II],February 17,February 25
xref:19000-s2022-project07.adoc[Project 7: Scientific computing & pandas: part II],February 24,March 4
xref:19000-s2022-project08.adoc[Project 8: Scientific computing & pandas: part III],March 3,March 11
xref:19000-s2022-project09.adoc[Project 9: Scientific computing & pandas: part IV],March 17,March 25
xref:19000-s2022-project10.adoc[Project 10: Importing and using packages],March 24,April 1
"xref:19000-s2022-project11.adoc[Project 11: Classes, dunder methods, attributes, methods, etc.: part I]",March 31,April 8
"xref:19000-s2022-project12.adoc[Project 12: Classes, dunder methods, attributes, methods, etc.: part II]",April 7,April 15
xref:19000-s2022-project13.adoc[Project 13: Data wrangling and matplotlib: part I],April 14,April 22
xref:19000-s2022-project14.adoc[Project 14: Data wrangling and matplotlib: part II],April 21,April 29
