time[YYYY-MM-DD hh:mm:ss PST], water_salinity, water_electrical_conductivity, water_temperature
"2012/06/01 00:00:36", 21.983, 2.640, 12.189
"2012/06/01 00:00:39", 21.969, 2.637, 12.174
"2012/06/01 00:00:42", 22.028, 2.643, 12.162
"2012/06/01 00:00:45", 21.889, 2.627, 12.151
"2012/06/01 00:00:48", 21.798, 2.617, 12.146
"2012/06/01 00:00:51", 21.933, 2.631, 12.143
"2012/06/01 00:00:54", 22.055, 2.644, 12.137
"2012/06/01 00:00:58", 22.169, 2.656, 12.126
"2012/06/01 00:01:00", 22.183, 2.657, 12.115
"2012/06/01 00:01:04", 22.162, 2.654, 12.106
"2012/06/01 00:01:07", 22.143, 2.651, 12.100
"2012/06/01 00:01:09", 22.110, 2.647, 12.095
"2012/06/01 00:01:13", 22.025, 2.638, 12.092
"2012/06/01 00:01:15", 21.973, 2.632, 12.091
"2012/06/01 00:01:18", 21.943, 2.629, 12.091
"2012/06/01 00:01:22", 21.908, 2.625, 12.090
"2012/06/01 00:01:24", 21.918, 2.626, 12.088
"2012/06/01 00:01:27", 21.985, 2.633, 12.087
"2012/06/01 00:01:30", 22.004, 2.635, 12.083
"2012/06/01 00:01:33", 21.950, 2.629, 12.079
"2012/06/01 00:01:36", 21.788, 2.611, 12.078
"2012/06/01 00:01:39", 21.614, 2.592, 12.080
"2012/06/01 00:01:42", 21.606, 2.592, 12.086
"2012/06/01 00:01:45", 21.698, 2.602, 12.088
"2012/06/01 00:01:48", 21.782, 2.611, 12.086
"2012/06/01 00:01:51", 21.838, 2.617, 12.083
"2012/06/01 00:01:54", 21.778, 2.610, 12.080
"2012/06/01 00:01:57", 21.732, 2.605, 12.079
"2012/06/01 00:02:01", 21.613, 2.592, 12.080
"2012/06/01 00:03:36", 21.683, 2.608, 12.203
"2012/06/01 00:03:39", 21.731, 2.612, 12.187
"2012/06/01 00:03:42", 21.801, 2.619, 12.173
"2012/06/01 00:03:45", 21.773, 2.615, 12.160
"2012/06/01 00:03:48", 21.672, 2.603, 12.151
"2012/06/01 00:03:52", 21.670, 2.603, 12.147
"2012/06/01 00:03:54", 21.703, 2.606, 12.141
"2012/06/01 00:03:57", 21.726, 2.608, 12.136
"2012/06/01 00:04:00", 21.709, 2.606, 12.130
"2012/06/01 00:06:36", 21.396, 2.581, 12.275
"2012/06/01 00:06:39", 21.439, 2.584, 12.250
"2012/06/01 00:06:42", 21.606, 2.601, 12.231
"2012/06/01 00:06:45", 21.786, 2.619, 12.211
"2012/06/01 00:06:48", 21.873, 2.628, 12.190
"2012/06/01 00:06:51", 21.855, 2.625, 12.175
"2012/06/01 00:06:54", 21.927, 2.632, 12.162
"2012/06/01 00:06:57", 22.002, 2.639, 12.151
"2012/06/01 00:07:00", 22.080, 2.647, 12.138
"2012/06/01 00:09:36", 21.874, 2.630, 12.222
"2012/06/01 00:09:39", 21.789, 2.619, 12.205
"2012/06/01 00:09:42", 21.594, 2.597, 12.196
"2012/06/01 00:09:46", 21.335, 2.569, 12.193
"2012/06/01 00:09:48", 21.359, 2.572, 12.197
"2012/06/01 00:09:51", 21.709, 2.610, 12.193
"2012/06/01 00:09:54", 22.107, 2.652, 12.178
"2012/06/01 00:09:57", 22.382, 2.681, 12.154
"2012/06/01 00:10:00", 22.455, 2.687, 12.130
"2012/06/01 00:15:36", 22.604, 2.709, 12.215
"2012/06/01 00:15:39", 22.706, 2.718, 12.188
