ID,parkalias,parkkey,parkname,city,state,country
1,NA,ALB01,Riverside Park,Albany,NY,US
2,NA,ALT01,Columbia Park,Altoona,PA,US
3,Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
4,NA,ARL01,Arlington Stadium,Arlington,TX,US
5,The Ballpark in Arlington; Ameriquest Fl,ARL02,Rangers Ballpark in Arlington,Arlington,TX,US
6,NA,ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US
7,NA,ATL02,Turner Field,Atlanta,GA,US
8,NA,ATL03,Suntrust Park,Atlanta,GA,US
9,NA,BAL01,Madison Avenue Grounds,Baltimore,MD,US
10,NA,BAL02,Newington Park,Baltimore,MD,US
