Seconds;TrackId;Name;AlbumId;MediaTypeId;GenreId;Composer;Milliseconds;Bytes;UnitPrice
250.017;1992;Lithium;163;1;1;Kurt Cobain;250017;8148800;0.99
250.031;3421;Nimrod (Adagio) from Variations On an Original Theme, Op. 36 "Enigma";290;2;24;Edward Elgar;250031;4124707;0.99
250.070;2090;Romance Ideal;169;1;7;NA;250070;8260477;0.99
250.122;2451;Ela Desapareceu;199;1;1;Chico Amaral/Samuel Rosa;250122;8289200;0.99
250.226;2184;Thumbing My Way;180;1;1;Eddie Vedder;250226;8201437;0.99
250.253;2728;Pulse;220;1;4;The Tea Party;250253;8183872;0.99
250.357;974;Edge Of The World;77;1;4;Faith No More;250357;8235607;0.99
250.462;1530;Sem Sentido;123;1;7;NA;250462;8292108;0.99
250.565;3371;Wooden Jesus;269;2;23;NA;250565;4302603;0.99
250.697;2504;Real Love;202;1;4;Billy Corgan;250697;8025896;0.99
